i,top_vasculature_percent,bottom_vasculature_percent
0,12.94097900390625,16.07208251953125
1,15.14892578125,14.32952880859375
2,13.26141357421875,14.7705078125
3,14.12353515625,12.884521484375
4,6.9580078125,18.3135986328125
5,7.84149169921875,13.9923095703125
6,6.26373291015625,13.44146728515625
7,5.61370849609375,21.29669189453125
8,7.84759521484375,18.99566650390625
9,7.373046875,17.95196533203125
10,13.13323974609375,12.933349609375
11,18.99871826171875,19.65484619140625
12,15.88592529296875,11.358642578125
13,15.63873291015625,10.48583984375
14,20.75042724609375,30.88226318359375
15,19.47479248046875,16.552734375
16,18.83087158203125,13.63372802734375
17,11.36474609375,13.51776123046875
18,11.81182861328125,7.4310302734375
19,13.85345458984375,12.7105712890625
20,12.481689453125,14.239501953125
21,12.2528076171875,16.44134521484375
22,7.8521728515625,8.33282470703125
23,9.70306396484375,6.8756103515625
24,10.53924560546875,8.12225341796875
25,10.36224365234375,7.18231201171875
26,10.15625,7.94677734375
27,11.25640869140625,8.74176025390625
28,5.89141845703125,8.40606689453125
29,5.487060546875,11.9110107421875
30,16.7877197265625,11.36322021484375
31,6.884765625,11.94915771484375
32,8.60595703125,7.7911376953125
33,4.0863037109375,9.8846435546875
34,5.47027587890625,10.6903076171875
35,9.0545654296875,10.78033447265625
36,3.2623291015625,10.21575927734375
37,4.925537109375,11.5814208984375
38,8.8897705078125,11.22894287109375
39,7.171630859375,14.89410400390625
40,9.09576416015625,15.8233642578125
41,7.3455810546875,11.75994873046875
42,8.43658447265625,12.77923583984375
43,9.25750732421875,14.312744140625
44,8.69903564453125,11.51275634765625
45,9.5947265625,10.5682373046875
46,8.69903564453125,24.755859375
47,17.07611083984375,9.37042236328125
48,16.217041015625,8.98590087890625
49,12.3779296875,15.863037109375
50,15.58685302734375,21.24176025390625
51,15.5120849609375,19.42138671875
52,12.00408935546875,21.61102294921875
53,12.5274658203125,25.93231201171875
54,13.05999755859375,24.06768798828125
55,8.04901123046875,20.18585205078125
56,15.7745361328125,27.69317626953125
57,21.04949951171875,17.37060546875
58,18.6431884765625,17.43927001953125
59,21.65679931640625,27.23541259765625
60,26.763916015625,19.66552734375
61,24.46136474609375,18.93310546875
62,12.43743896484375,10.34088134765625
63,5.2520751953125,11.95831298828125
64,0.77667236328125,9.1278076171875
65,1.2420654296875,8.6944580078125
66,4.5989990234375,10.43701171875
67,4.29840087890625,4.16412353515625
68,3.5064697265625,4.06036376953125
69,3.59039306640625,7.71331787109375
70,3.912353515625,5.1422119140625
71,4.50897216796875,3.32794189453125
72,4.6905517578125,4.06036376953125
73,3.09906005859375,3.79791259765625
74,2.78778076171875,3.5980224609375
75,4.296875,0.714111328125
76,5.2764892578125,2.11181640625
77,6.17828369140625,2.0172119140625
78,3.375244140625,1.18865966796875
79,2.0660400390625,2.15606689453125
80,2.8289794921875,1.73187255859375
81,5.694580078125,4.1839599609375
82,5.58013916015625,3.29742431640625
83,4.0985107421875,2.62298583984375
84,3.790283203125,11.6607666015625
85,1.91192626953125,11.6363525390625
86,1.9287109375,9.4940185546875
87,4.19921875,11.22283935546875
88,2.0111083984375,14.68353271484375
89,2.31781005859375,11.566162109375
90,4.3304443359375,5.89141845703125
91,9.10491943359375,2.74200439453125
92,7.958984375,5.89752197265625
93,1.9073486328125,5.22613525390625
94,6.64215087890625,3.59039306640625
95,5.77850341796875,5.19866943359375
96,2.09503173828125,5.45196533203125
97,7.07244873046875,7.96661376953125
98,5.82122802734375,7.86895751953125
99,2.1575927734375,10.443115234375
100,4.36553955078125,8.6181640625
101,5.35125732421875,6.1798095703125
102,3.89556884765625,5.62286376953125
103,3.497314453125,13.24615478515625
104,3.77349853515625,11.4013671875
105,3.790283203125,6.08673095703125
106,1.3641357421875,13.60626220703125
107,1.35955810546875,12.078857421875
108,4.98046875,3.88031005859375
109,3.790283203125,4.388427734375
110,2.67486572265625,4.78363037109375
111,3.2928466796875,1.53350830078125
112,3.92608642578125,3.62396240234375
113,4.44488525390625,3.34625244140625
114,3.79180908203125,1.20086669921875
115,1.59759521484375,3.28826904296875
116,2.20794677734375,3.4149169921875
117,2.31170654296875,7.098388671875
118,2.71453857421875,9.26666259765625
119,3.1219482421875,12.31536865234375
120,1.416015625,7.049560546875
121,3.0487060546875,6.47735595703125
122,2.996826171875,5.6640625
123,1.79443359375,5.61370849609375
124,2.57568359375,9.24224853515625
125,2.6947021484375,8.43048095703125
126,7.27691650390625,1.03302001953125
127,7.85064697265625,4.94384765625
128,12.25738525390625,12.774658203125
129,4.754638671875,4.97894287109375
130,6.87713623046875,15.80657958984375
131,5.83038330078125,14.5172119140625
132,6.39495849609375,3.228759765625
