file,method,z_min,z_max,n_z_slices_used,time_sec,Z,downscale,error
Dorota_merged_stellaris_R1_012,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_R1_013,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_R1_014,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_R1_015,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_R1_016,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_R1_017,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_R1_018,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_R1_019,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_R1_020,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_Tulip10,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_Wicell10,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_Wicell10_2,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_Wicell10_3,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_Wicell10_4,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_WicellRescue,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_WicellRescue_2,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_WicellRescue_3,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_WicellRescue_4,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_WicellWicellECFB10,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_WicellWicellECFB10_2,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_WicellWicellECFB10_3,SKIPPED,,,,0.0,,4,
Dorota_merged_stellaris_WicellWicellECFB10_5,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img0,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img1,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img2,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img3,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img4,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img5,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img6,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img7,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img8,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img9,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img10,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img11,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img12,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img13,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img14,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img15,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img16,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img17,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img18,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img19,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img20,SKIPPED,,,,0.0,,4,
empty_2026.01.13_img21,SKIPPED,,,,0.0,,4,
Farid_14_07_25_img0,SKIPPED,,,,0.0,,4,
Farid_14_07_25_img1,SKIPPED,,,,0.0,,4,
Farid_14_07_25_img2,SKIPPED,,,,0.0,,4,
Farid_14_07_25_img3,SKIPPED,,,,0.0,,4,
Farid_14_07_25_img4,SKIPPED,,,,0.0,,4,
Farid_14_07_25_img5,SKIPPED,,,,0.0,,4,
Farid_14_07_25_img6,SKIPPED,,,,0.0,,4,
Farid_14_07_25_img7,SKIPPED,,,,0.0,,4,
Farid_14_07_25_img8,SKIPPED,,,,0.0,,4,
Farid_14_07_25_img9,SKIPPED,,,,0.0,,4,
Farid_14_07_25_img10,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img0,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img1,SKIPPED,,,,0.0,,4,
Farid_18_07_25_img2,SKIPPED,,,,0.0,,4,
